"filename", "language", "Markdown", "Python", "TypeScript", "JSON", "HTML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Dev\Empreinte Fiscale\.claude\settings.local.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 29
"c:\Dev\Empreinte Fiscale\ARCHITECTURE.md", "Markdown", 338, 0, 0, 0, 0, 0, 0, 0, 69, 407
"c:\Dev\Empreinte Fiscale\docs\ADMIN_REFERENTIEL_GUIDE.md", "Markdown", 258, 0, 0, 0, 0, 0, 0, 0, 98, 356
"c:\Dev\Empreinte Fiscale\docs\DEPLOYMENT_GUIDE.md", "Markdown", 432, 0, 0, 0, 0, 0, 0, 0, 135, 567
"c:\Dev\Empreinte Fiscale\docs\PHASE4_ARCHITECTURE.md", "Markdown", 459, 0, 0, 0, 0, 0, 0, 0, 122, 581
"c:\Dev\Empreinte Fiscale\docs\USER_AI_GUIDE.md", "Markdown", 353, 0, 0, 0, 0, 0, 0, 0, 112, 465
"c:\Dev\Empreinte Fiscale\docs\lighthouse-accessibility-final.json", "JSON", 0, 0, 0, 2422, 0, 0, 0, 0, 0, 2422
"c:\Dev\Empreinte Fiscale\docs\lighthouse-accessibility-report.html", "HTML", 0, 0, 0, 0, 2537, 0, 0, 5, 317, 2859
"c:\Dev\Empreinte Fiscale\docs\lighthouse-accessibility.json", "JSON", 0, 0, 0, 2464, 0, 0, 0, 0, 0, 2464
"c:\Dev\Empreinte Fiscale\docs\lighthouse-final.html", "HTML", 0, 0, 0, 0, 2537, 0, 0, 5, 317, 2859
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\.openspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\design.md", "Markdown", 333, 0, 0, 0, 0, 0, 0, 0, 113, 446
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\proposal.md", "Markdown", 62, 0, 0, 0, 0, 0, 0, 0, 19, 81
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\admin-interface\spec.md", "Markdown", 141, 0, 0, 0, 0, 0, 0, 0, 65, 206
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\ai-integration\spec.md", "Markdown", 114, 0, 0, 0, 0, 0, 0, 0, 52, 166
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\annual-wrapped\spec.md", "Markdown", 102, 0, 0, 0, 0, 0, 0, 0, 48, 150
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\discovery-mode\spec.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 0, 26, 78
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\document-upload\spec.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 22, 66
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\referentiel-automation\spec.md", "Markdown", 124, 0, 0, 0, 0, 0, 0, 0, 58, 182
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\smart-notifications\spec.md", "Markdown", 55, 0, 0, 0, 0, 0, 0, 0, 27, 82
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\social-friends\spec.md", "Markdown", 88, 0, 0, 0, 0, 0, 0, 0, 42, 130
"c:\Dev\Empreinte Fiscale\openspec\changes\archive\2026-02-08-setup-phase4\specs\social-groups\spec.md", "Markdown", 80, 0, 0, 0, 0, 0, 0, 0, 38, 118
